Titre,Prix,Vote,Lien_Image
"acer Nitro V Gaming Laptop | Intel Core i9-13900H Processor | NVIDIA GeForce RTX 5060 Laptop GPU | 15.6"" FHD IPS 165Hz Display | 16GB DDR4 | 1TB Gen 4 SSD | Wi-Fi 6 | Backlit KB | ANV15-52-98KV",627203.0,4.3,https://m.media-amazon.com/images/I/71lgxJKQZVL._AC_UY218_.jpg
"ASUS Vivobook Go 15.6” Slim Laptop, AMD Ryzen 5 7520U, 8GB, 512GB, Windows 11 Home, Cool Silver, Military Grade Durability, Fast Charging, Webcam Shield, E1504FA-AS54",199561.0,4.3,https://m.media-amazon.com/images/I/71Os2Kn40pL._AC_UY218_.jpg
"HP 2026 17 inch laptops, 16GB RAM 512GB SSD Windows 11 Pro, Intel Core i3-N305, 17.3"" FHD IPS, Up to 9.5 Hours Battery Life–Business Laptop for Work & Students, AI Copilot, Type-c, G255 Accessory Kit",,4.1,https://m.media-amazon.com/images/I/71f4gteybCL._AC_UY218_.jpg
"Acer Nitro V 16S AI Gaming Laptop | NVIDIA GeForce RTX 5060 GPU | AMD Ryzen 7 260 Processor | 16"" WUXGA IPS 180Hz Display | 32GB DDR5 | 1TB Gen 4 SSD | Wi-Fi 6 | ANV16S-41-R2AJ",684222.0,4.2,https://m.media-amazon.com/images/I/71HHF2jUnpL._AC_UY218_.jpg
"Lenovo IdeaPad 3 15.6"" FHD Chromebook Laptop, Intel Celeron N4500, Intel UHD Graphics, 4GB RAM, 64GB SSD, USB-A&C, HDMI, WiFi, Chrome OS",89520.0,4.3,https://m.media-amazon.com/images/I/613oHtHur-L._AC_UY218_.jpg
"HP 255 G10 15.6"" FHD Business Laptop, AMD Ryzen 7 7730U, 16GB RAM, 512GB PCIe SSD, Numeric Keypad, Webcam, Wi-Fi 6, HDMI, Windows 11 Pro, Black",,4.1,https://m.media-amazon.com/images/I/71Ixk-aiC+L._AC_UY218_.jpg
"acer Chromebook 315 Laptop | Intel Celeron N4500 | 15.6"" Full HD IPS Display | Intel UHD Graphics | 4GB LPDDR4X | 64GB eMMC | Intel Wi-Fi 6 | DTS Audio | USB Type-C | Chrome OS | CB315-4H-C8XU",92354.0,4.4,https://m.media-amazon.com/images/I/71Y8BBXth9L._AC_UY218_.jpg
"Lenovo IdeaPad 3i Chromebook, 15.6” FHD Display, Intel Celeron N4500, 8GB RAM, 64GB eMMC, 1920x1080 px, 720p Camera, Chrome OS, Abyss Blue",124872.0,4.3,https://m.media-amazon.com/images/I/71bwzCMcQvL._AC_UY218_.jpg
"HP 2023 Chromebook Laptop, 14 Inch Display, Intel Celeron N4120 Processor, 4GB RAM, 64GB eMMC, Intel UHD Graphics 600, WiFi, Bluetooth, Chrome OS, Modern Gray",89520.0,4.2,https://m.media-amazon.com/images/I/51PsNbMd-CL._AC_UY218_.jpg
"msi Katana 15 HX 15.6” 165Hz QHD+ Gaming Laptop: Intel Core i9-14900HX, NVIDIA Geforce RTX 5070, 32GB DDR5, 1TB NVMe SSD, RGB Keyboard, Win 11 Home: Black B14WGK-016US",911734.0,4.3,https://m.media-amazon.com/images/I/71TvKdAmIjL._AC_UY218_.jpg
"Lenovo IdeaPad Slim 3 Laptop 2025 15.6” FHD 1920 x 1080 Touchscreen, AMD Ryzen 7 5825U, 8-core, AMD Radeon Graphics, 16GB DDR4, 512GB SSD, Wi-Fi 6, Bluetooth 5.2, 720p HD Camera, Windows 11 Home",274946.0,4.8,https://m.media-amazon.com/images/I/61w0THscY3L._AC_UY218_.jpg
"HP 17 Laptop, 17.3” HD+ Display, 11th Gen Intel Core i3-1125G4 Processor, 8GB RAM, 256GB SSD, Wi-Fi, HDMI, Webcam, Windows 11 Home, Silver",227506.0,4.4,https://m.media-amazon.com/images/I/71CDSpds6jL._AC_UY218_.jpg
"acer Nitro V Gaming Laptop | Intel Core i7-13620H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 165Hz Display | 16GB DDR5 | 1TB Gen 4 SSD | Wi-Fi 6 | Backlit KB | ANV15-52-76NK",541675.0,4.6,https://m.media-amazon.com/images/I/719MpRszpCL._AC_UY218_.jpg
"Lenovo IdeaPad 1 Student Laptop, 15.6"" FHD Display, Intel Dual Core Processor, 12GB RAM, 512GB SSD + 128GB eMMC, 1 Year Office 365, Wi-Fi 6, Webcam, Bluetooth, SD Card Reader, Windows 11 Home, Grey",221804.0,4.2,https://m.media-amazon.com/images/I/71MC0412PeL._AC_UY218_.jpg
"acer Aspire Go 15 AI Ready Laptop | 15.6"" FHD (1920 x 1080) IPS Display | Intel Core 3 Processor N355 | Intel Graphics | 8GB DDR5 | 128GB UFS | Wi-Fi 6 | Windows 11 Home in S Mode | AG15-32P-39R2",152241.0,4.4,https://m.media-amazon.com/images/I/71H8XhwlwpL._AC_UY218_.jpg
"Apple 2025 MacBook Air 13-inch Laptop with M4 chip: Built for Apple Intelligence, 13.6"" Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, 12MP Center Stage Camera, Touch ID, Midnight",,4.8,https://m.media-amazon.com/images/I/71cWZUr9SVL._AC_UY218_.jpg
"Apple 2025 MacBook Air 13-inch Laptop with M4 chip: Built for Apple Intelligence, 13.6"" Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, 12MP Center Stage Camera, Touch ID, Silver",,4.8,https://m.media-amazon.com/images/I/71igjFyr56L._AC_UY218_.jpg
"MSI Titan 18 HX AI 18"" 120Hz MiniLED UHD+ Gaming Laptop: Intel Ultra 9-285HX, NVIDIA Geforce RTX 5080, 64GB DDR5, 4TB NVMe SSD, Thunderbolt 5, Wi-Fi 7, Win 11 Pro: Black A2XWIG-616US",2280190.0,4.6,https://m.media-amazon.com/images/I/71rzJZMnTvL._AC_UY218_.jpg
"AOC Laptop Computer 15.6 Inch FHD Screen Laptop with N95 Processor(Up to 3.4GHz) 16GB RAM 512GB SSD Work Laptops Windows 11 Laptop Computer, Light&Thin, Metal Shell, Webcam, Type-C, USB3.2, Grey",798260.0,4.8,https://m.media-amazon.com/images/I/71ioErWlYBL._AC_UY218_.jpg
"Dell 16 Laptop DC16251-16.0-inch 16:10 FHD+ Display, Intel Core 7 150U, 16GB DDR5 RAM, 1TB SSD, Intel Graphics, Windows 11 Home, Onsite Service - Platinum Silver",424786.0,4.7,https://m.media-amazon.com/images/I/713D-2c8SpL._AC_UY218_.jpg
"Apple 2025 MacBook Pro Laptop with M5 chip with (10‑core CPU and GPU): Built for Apple Intelligence, 14.2-inch Liquid Retina XDR Display, 16GB Unified Memory, 512GB SSD Storage, Silver",,4.7,https://m.media-amazon.com/images/I/61qzZUkfYjL._AC_UY218_.jpg
"Lenovo Ideapad 1 Laptop, 15.6"" FHD (1920x1080) IPS 300nits Anti-Glare Display, Touch, Ryzen 5 7520U, 8GB RAM, 256GB Storage, AMD Radeon Graphics, HDMI, Windows 11, HDMI, Abyss Blue",202115.0,4.6,https://m.media-amazon.com/images/I/61KWQ2MyghL._AC_UY218_.jpg
"acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD | AMD Ryzen 3 7320U Quad-Core | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home",186954.0,4.2,https://m.media-amazon.com/images/I/61gKkYQn6lL._AC_UY218_.jpg
"Lenovo Yoga 9i 2-in-1 Aura Edition Laptop with Intel Core Ultra 7 258V Processor,14” 2.8K 1,100 nits(HDR) OLED, Touchscreen Display, 32GB LPDDR5X-8533MT/s Memory, 1TB SSD, Wi-Fi 7, Pen, and Win 11 Pro",,4.5,https://m.media-amazon.com/images/I/714tbVaOKhL._AC_UY218_.jpg
"jumper 16 inch Convertible Laptop, Laptop Computer with Quad Core N95 Processor (Up to 3.4GHz), 16GB DDR5 RAM 640GB Storage, 360 Degree Touchscreen, Backlit Keyboard, Fingerprint Reader, BT5.2, WiFi 6",228070.0,4.4,https://m.media-amazon.com/images/I/71GG8HvPzPL._AC_UY218_.jpg
"HP Windows 11 Pro 15 15.6"" FHD Business Laptop Computer,11th Gen Intel Core i5-1135G7, 16GB RAM 512GB SSD, Intel Iris Xe Graphic, Numeric Pad, Long Battery Life, Wi-Fi 5, Bluetooth 4.2, USB, w/Battery",283955.0,4.2,https://m.media-amazon.com/images/I/819t5z-wGWL._AC_UY218_.jpg
"2026 Laptop with AMD Ryzen 3 4300U Processor(Up to 3.7GHz), AMD Radeon Graphics,16GB DDR4 512GB NVMe SSD, Wi-Fi,Type-C,Webcam,15.6"" Full HD IPS Display Portable Windows 11 Laptop Computer",798260.0,5.0,https://m.media-amazon.com/images/I/71lHzWjVdML._AC_UY218_.jpg
"DELL Inspiron 15 3530 Business Laptop, 15.6"" FHD Touchscreen, Intel Core i5-1334U, 16GB RAM, 512GB SSD, Lifetime Microsoft Office 2024, Webcam, HDMI, Wi-Fi 6, Windows 11 Pro, Black",284525.0,4.3,https://m.media-amazon.com/images/I/51bgIbas7WL._AC_UY218_.jpg
"Lenovo LOQ Essential – AI-Powered Student Gaming Laptop - Intel® Core™i5-12450HX - 15.6"" FHD IPS Display – 144Hz Refresh Rate – NVIDIA® GeForce RTX™ 4050 – 8GB Memory – 512GB SSD Storage – Luna Grey",345946.0,4.4,https://m.media-amazon.com/images/I/71VDToU0qnL._AC_UY218_.jpg
"Samsung 16” Galaxy Book5 Pro 360 Copilot+ PC, AI Business Laptop, Windows 11 Pro, Intel Core Ultra 7 Processor 258V, 3K AMOLED Touchscreen, 32GB / 1TB, 120HZ, 2025 Model NP964QHA-KG2US, Gray",,4.4,https://m.media-amazon.com/images/I/616V0DjnYRL._AC_UY218_.jpg
"msi Raider 18 HX AI 18” 120Hz UHD+ Gaming Laptop: Intel Core U9-285HX, NVIDIA Geforce RTX 5090, 64GB DDR5, 2TB NVMe SSD, Thunderbolt 5, Wi-Fi 7, Win 11 Pro: Black A2XWJG-069US",2508266.0,3.5,https://m.media-amazon.com/images/I/71Dxtdxs-WL._AC_UY218_.jpg
"Lenovo IdeaPad Flex 5 16"""" 2-in-1 2.5K IPS Touchscreen Laptop, Intel Core i7-1255U, 16GB RAM, 1TB SSD, Backlit Keyboard, Fingerprint Reader, Win 11 Pro, Storm Grey, 32GB Hotface USB Card, Gray",456146.0,4.3,https://m.media-amazon.com/images/I/81e-Uu6hq2L._AC_UY218_.jpg
"Dell Inspiron Touchscreen Laptop, 15.6"" Business & Student Laptop Computer, Windows 11 Pro Laptop 32GB RAM 1TB SSD, Intel i5-1155G7 Processor, Full HD IPS Display, Numeric Keypad, HDMI, Carbon Black",364916.0,4.2,https://m.media-amazon.com/images/I/61Wc1fDGJuL._AC_UY218_.jpg
"HP Essential Laptop, 14"" HD Display, Intel Celeron N4120, 16GB RAM, 64GB eMMC, Webcam, HDMI, Wi-Fi, RJ-45, 1 Year Office 365, Windows 11 Home, Rose Gold",142251.0,4.0,https://m.media-amazon.com/images/I/61hCuzi1ZUL._AC_UY218_.jpg
"Lenovo IdeaPad Slim 3, 15.6"" Full HD Touchscreen Laptop, Copilot AI PC, AMD Ryzen 7 5825U, Wi-Fi 6, Windows 11 Home, w/Mouse pad (16GB RAM | 512GB PCIe SSD)",283384.0,5.0,https://m.media-amazon.com/images/I/71b09NV0gfL._AC_UY218_.jpg
"Samsung Galaxy Book4 2024 Business Laptop 15.6"" FHD IPS 10-Core Intel 7 150U 16GB LPDDR4 512GB SSD Intel Graphics Wi-Fi 6 Backlit Keyboard Fingerprint Win11 Home w/ONT 32GB USB",347810.0,4.6,https://m.media-amazon.com/images/I/61mhmhHtIpL._AC_UY218_.jpg
"HP 14"" HD Chromebook Laptop for Students, Intel Quad-Core N4120(> N4020), 4GB RAM, 64GB eMMC, WiFi, Webcam, HDMI, USB-A&C, 14 Hours Battery life, ZOOM, Chrome OS, CUE Accessories",92656.0,4.5,https://m.media-amazon.com/images/I/61s595ANBTL._AC_UY218_.jpg
"Dell Inspiron 15 Touchscreen Laptop Computer for Business College Student Home, 15.6"" FHD Intel 10-Core (Beat i7-1255U) 32GB RAM 1TB SSD, Wi-Fi 6, Win 11 Pro, w/GM Accessory",,4.1,https://m.media-amazon.com/images/I/71-R1Km6G2L._AC_UY218_.jpg
"ASUS Vivobook 15 Laptop, 15.6"" FHD (1920x1080) IPS Display, Intel i5-120U, Deca-Core, 16GB DDR4 RAM, 512GB PCIe SSD, Bluetooth 5.2, HDMI, Cool Silver, Windows 11 Home, TWE Mouse Pad & Mouse",250884.0,4.8,https://m.media-amazon.com/images/I/71BHqFxckxL._AC_UY218_.jpg
"ASUS ROG Strix SCAR 18 (2025) Gaming Laptop, 18” ROG Nebula HDR 16:10 2.5K 240Hz/3ms, NVIDIA GeForce RTX 5090, Intel Core Ultra 9 275HX, 32GB DDR5, 2TB PCIe Gen 4 SSD, Wi-Fi 7, Win 11 Pro, G835LX-XS97",2565285.0,4.0,https://m.media-amazon.com/images/I/71GhOCogx0L._AC_UY218_.jpg
"Lenovo Legion Pro 7i Gen 10 16"" Gaming Laptop (2025 Model) Intel Core Ultra 9 275HX 24C, NVIDIA GeForce RTX 5080 16GB, 64GB RAM, 2TB (1TB+1TB) NVMe SSD, 16.0"" WQXGA OLED 500 nits 240Hz, Windows 11 Pro",,4.5,https://m.media-amazon.com/images/I/515W50hwJmL._AC_UY218_.jpg
"ASUS VivoBook 16 Laptop, 16” WUXGA (1920 x 1200) 16:10Display, AMD Ryzen 7 7730U CPU, AMD Radeon™ Graphics, 8GB RAM, 1TB SSD, Fingerprint Sensor, Windows 11 Home, Indie Black, M1605YA-ES74",285089.0,4.3,https://m.media-amazon.com/images/I/51zUsE97ggL._AC_UY218_.jpg
"Lenovo IdeaPad 15.6"" FHD Laptop, 10-Core Intel Core i5-1335U, 16GB RAM, 256GB SSD, Intel Iris Xe Graphics, Long Battery Life, Windows 11 Home, for Student-Home & Business, Grey, EAT Wireless Earbuds",,4.4,https://m.media-amazon.com/images/I/71XTrHGyT1L._AC_UY218_.jpg
"ASUS ROG Strix G18 (2025) Gaming Laptop, 18” ROG Nebula 16:10 2.5K 240Hz/3ms, NVIDIA® GeForce RTX™ 5070, Intel® Core™ Ultra 9 275HX, 32GB DDR5-5600, 2TB PCIe Gen 4 SSD, Wi-Fi 7, Windows 11 Pro",1341229.0,4.1,https://m.media-amazon.com/images/I/81mRCWvzUTL._AC_UY218_.jpg
"Lenovo ThinkBook 16 G7 Business Laptop, 16” FHD+, AMD Ryzen 5 7533HS, 32GB DDR5, 1TB NVMe, WiFi 6 + BT, RJ-45, HDMI, Fingerprint Reader, HD Webcam, Win 11 Pro",490335.0,4.4,https://m.media-amazon.com/images/I/71tLqt07DPL._AC_UY218_.jpg
"Lenovo V-Series V15 Business Laptop, 15.6"" FHD Display, AMD Ryzen 7 7730U, 16GB RAM, 512GB SSD, Numeric Keypad, HDMI, RJ45, Webcam, Wi-Fi, Windows 11 Pro, Black",336406.0,4.3,https://m.media-amazon.com/images/I/71TN6dLVcsL._AC_UY218_.jpg
"HP 15.6 inch Laptop, HD Touchscreen Display, AMD Ryzen 3 7320U, 8 GB RAM, 256 GB SSD, AMD Radeon Graphics, Windows 11 Home, Natural Silver, 15-fc0399nr",,4.5,https://m.media-amazon.com/images/I/71XTCkgshfL._AC_UY218_.jpg
"msi Vector 16 HX AI 16” 240Hz QHD+ Gaming Laptop: Intel Core Ultra 9-275HX, NVIDIA Geforce RTX 5070Ti, 16GB DDR5, 1TB NVMe SSD, Thunderbolt 5, Wi-Fi 7, Win 11 Home: Cosmo Gray A2XWHG-211US",1083355.0,4.1,https://m.media-amazon.com/images/I/710HAAIWaCL._AC_UY218_.jpg
"ASUS Vivobook 16"" WUXGA Laptop Intel Core i7-1355U 16GB RAM 512GB SSD Intel Iris Xe Graphics Lightweight Portable Notebook Black Windows 11",,5.0,https://m.media-amazon.com/images/I/61oiIESuyDL._AC_UY218_.jpg
"ASUS V16 Gaming Laptop, 16” WUXGA 144Hz Display, Intel Core 7 Processor 240H, NVIDIA GeForce RTX 5060, 32GB Memory, 1TB Storage, Windows 11, Matte Black, V3607VM-DS79",855279.0,4.2,https://m.media-amazon.com/images/I/71jUWgXKPvL._AC_UY218_.jpg
"Dell Pro 16 FHD 16"" Display Business Laptop, AMD Ryzen 5 220, 32GB DDR5 RAM, 1TB SSD PCIe, Backlit Keyboard, WiFi 6E + BT, RJ-45, HDMI, AI PC, HD Webcam, Windows 11 Pro - Magnetite Black",627180.0,4.4,https://m.media-amazon.com/images/I/71kO7vARTML._AC_UY218_.jpg
"Lenovo V15 Gen 4 (15.6"" FHD Anti-Glare, 13th Intel Core i5-13420H (Beat i7-1255U), 16GB RAM, 512GB SSD) for Business, Home, Military Grade, Ethernet, Webcam, IST Hub, Win 11 Pro w/AI Copilot, Black",318736.0,4.1,https://m.media-amazon.com/images/I/81DkU7gym4L._AC_UY218_.jpg
"HP OMEN Ultra Slim RTX 5070 Gaming Laptop, 16"" WQXGA 240Hz, Intel Ultra 9 285H(Beats Intel i9-14900), NVIDIA RTX 5070, 64GB DDR5 RAM, 2TB SSD, Backlit KB, Bundle with PCO Laptop Cooler",,4.4,https://m.media-amazon.com/images/I/71dmwHYfltL._AC_UY218_.jpg
"Dell Touchscreen i7 Laptop, 10 Cores 15.6"" FHD Intel Core i7-1355U(Up to 5GHz), 32GB RAM 1TB SSD WiFi6, Win 11 Pro Laptop Computer for Business Gaming w/GM Accessorry",,5.0,https://m.media-amazon.com/images/I/71dxJq+8CpL._AC_UY218_.jpg
"Lenovo ThinkPad E16 Gen 3, FHD+ 16"" Touchscreen Display, Intel Ultra 5-225U, 16GB RAM, 512GB SSD, Fingerprint, Backlit Keyboard, WiFi 6E + BT, RJ-45, FHD Webcam, Win 11 Pro, AI Business Laptop",,4.2,https://m.media-amazon.com/images/I/718mUq3sGPL._AC_UY218_.jpg
"Lenovo Yoga 7i 2-in-1 Laptop, 16"" FHD+ 2K Touchscreen Display, 12-core Intel Core Ultra 7 155U, 16GB LPDDR5X, 1TB SSD, Backlit KB, Fingerprint, Thunderbolt 4, Win 11 Home, Storm Grey, EAT 16GB USB Pen",455582.0,4.4,https://m.media-amazon.com/images/I/61e7D7iyt5L._AC_UY218_.jpg
"HP Notebook Laptop, 15.6"" HD Touchscreen, Intel Core i3-1115G4 Processor, 32GB RAM, 1TB PCIe SSD, Webcam, Type-C, HDMI, SD Card Reader, Wi-Fi, Windows 11 Home, Silver",294783.0,4.1,https://m.media-amazon.com/images/I/61oAh3XrX+L._AC_UY218_.jpg
"acer Nitro V Gaming Laptop | Intel Core 9 Processor 270H | NVIDIA GeForce RTX 5070 Laptop GPU | 16"" WUXGA IPS 180Hz Display | 32GB DDR5 | 1TB Gen 4 SSD | Wi-Fi 6 | Backlit KB | ANV16-72-933F",855279.0,3.9,https://m.media-amazon.com/images/I/71bemAPYnxL._AC_UY218_.jpg
"HP Latest Stream 14"" HD Laptop, Intel Celeron Processor, 4GB Memory, 64GB eMMC Storage, Fast Charge, HDMI, Up to 11 Hours Long Battery Life, Office 365 1-Year, Win 11 S, Microfiber Bundle, White",98643.0,4.2,https://m.media-amazon.com/images/I/51qhN7a-AgL._AC_UY218_.jpg
"Dell Inspiron 15.6"" FHD Touchscreen Laptop, 32GB RAM, 1TB SSD, Speed 8-Core AMD Ryzen 7 7730U (Outperforms Intel i7-1255U in Multitasking), Windows 11 Pro, Long Battery Life, w/WOWPC Recovery USB",,4.1,https://m.media-amazon.com/images/I/71KP4L4j4tL._AC_UY218_.jpg
"HP ZBook Power G9 Mobile Workstation, 15.6” FHD Display, Intel Core i7-12700H vPro, NVIDIA RTX A2000, 64GB DDR5 RAM, 2TB PCIe SSD, FP Reader, Backlit KB, Wi-Fi 6, RJ-45, HDMI, Windows 11 Pro, Grey",,5.0,https://m.media-amazon.com/images/I/61uScPYDcBL._AC_UY218_.jpg
"HP Chromebook 14 Laptop, Intel Celeron N4000 Processor, 4 GB RAM, 32 GB eMMC, 14” HD Display, Chrome, Lightweight Computer with Webcam and Dual Mics, Home, School, Music, Movies (14a-na0021nr, 2021)",96613.0,4.4,https://m.media-amazon.com/images/I/81b6IIclRfS._AC_UY218_.jpg
"HP Flagship 14"" HD Student&Business Laptop with AI Copilot, 13th Gen Intel 4-Core, 4GB RAM, 1.12TB Storage (128GB UFS + 1TB Docking Station), 1 Year Office 365, Wi-Fi 6, Win 11 S, Lavender Purple",278823.0,4.3,https://m.media-amazon.com/images/I/81vZJm+uB8L._AC_UY218_.jpg
"Samsung 14"" Galaxy Chromebook Go Laptop PC Computer, Intel Celeron N4500 Processor, 4GB RAM, 64GB Storage, ChromeOS, XE340XDA-KA2US, Student Laptop, Silver",107766.0,4.2,https://m.media-amazon.com/images/I/71pJuxRFm3L._AC_UY218_.jpg
